County Name,Date,Year,Month,Day,Hour,PM2.5,PM10,NO2,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_100m (km/h),Average Traffic Density
Cook,2020-01-08,2020,1,8,22,8.0,49.0,20.4,-4.6,69,0.0,33.7,
Cook,2020-01-08,2020,1,8,23,5.2,39.0,15.6,-4.4,71,0.0,34.8,
Cook,2020-01-09,2020,1,9,0,1.9,28.0,13.5,-4.2,71,0.0,35.5,
Cook,2020-01-09,2020,1,9,1,2.6,32.0,10.9,-4.0,70,0.0,37.3,
Cook,2020-01-09,2020,1,9,2,2.7,26.0,9.5,-3.7,68,0.0,39.5,
Cook,2020-01-09,2020,1,9,3,0.8,29.0,11.7,-3.0,63,0.0,39.8,
Cook,2020-01-09,2020,1,9,4,0.3,33.0,13.1,-2.6,60,0.0,40.7,
Cook,2020-01-09,2020,1,9,5,4.1,38.0,13.6,-1.9,57,0.0,41.9,
Cook,2020-01-09,2020,1,9,6,3.3,44.0,17.6,-0.9,55,0.0,50.4,
Cook,2020-01-09,2020,1,9,7,7.5,47.0,23.0,1.2,54,0.0,48.8,
Cook,2020-01-09,2020,1,9,8,5.0,62.0,24.3,3.2,54,0.0,53.6,
Cook,2020-01-09,2020,1,9,9,5.5,58.0,20.9,4.2,56,0.0,55.1,
Cook,2020-01-09,2020,1,9,10,3.3,36.0,18.2,5.4,56,0.1,55.4,
Cook,2020-01-09,2020,1,9,11,3.0,49.0,19.3,5.6,59,0.2,57.1,
Cook,2020-01-09,2020,1,9,12,3.8,47.0,21.1,7.5,54,0.0,57.8,
Cook,2020-01-09,2020,1,9,13,6.7,36.0,19.7,8.3,49,0.0,58.1,
Cook,2020-01-09,2020,1,9,14,9.0,38.0,17.5,8.5,53,0.0,60.0,
Cook,2020-01-09,2020,1,9,15,4.7,42.0,15.9,9.0,58,0.0,61.9,
Cook,2020-01-09,2020,1,9,16,1.6,38.0,14.8,9.1,63,0.0,63.1,
Cook,2020-01-09,2020,1,9,17,3.2,30.0,14.7,8.8,66,0.0,63.5,
Cook,2020-01-09,2020,1,9,18,7.9,30.0,13.9,7.9,76,0.0,65.6,
Cook,2020-01-09,2020,1,9,19,4.1,20.0,12.9,8.2,78,0.0,61.9,
Cook,2020-01-09,2020,1,9,20,2.8,21.0,12.6,8.2,80,0.0,56.7,
Cook,2020-01-09,2020,1,9,21,6.3,20.0,11.1,7.8,85,0.0,54.8,
Cook,2020-01-09,2020,1,9,22,5.6,23.0,10.9,7.4,88,0.0,56.5,
Cook,2020-01-09,2020,1,9,23,7.1,20.0,9.1,7.6,91,0.0,53.3,
Cook,2020-01-10,2020,1,10,0,7.6,22.0,9.3,7.6,92,0.0,47.9,
Cook,2020-01-10,2020,1,10,1,8.0,21.0,9.0,7.5,93,0.0,43.3,
Cook,2020-01-10,2020,1,10,2,5.8,25.0,11.4,7.7,93,0.0,37.0,
Cook,2020-01-10,2020,1,10,3,5.3,22.0,15.2,7.9,95,0.0,31.2,
Cook,2020-01-10,2020,1,10,4,10.0,21.0,17.5,7.7,96,0.1,29.1,
Cook,2020-01-10,2020,1,10,5,4.2,21.0,20.1,7.6,96,0.1,27.9,
Cook,2020-01-10,2020,1,10,6,9.8,24.0,22.5,7.1,97,0.0,26.3,
Cook,2020-01-10,2020,1,10,7,10.5,29.0,24.3,7.7,96,0.1,23.0,
Cook,2020-01-10,2020,1,10,8,10.3,35.0,26.2,7.9,96,0.0,18.9,
Cook,2020-01-10,2020,1,10,9,14.7,24.0,23.4,8.2,95,0.0,11.8,
Cook,2020-01-10,2020,1,10,10,12.9,34.0,26.3,8.2,97,0.0,7.2,
Cook,2020-01-10,2020,1,10,11,12.4,29.0,29.2,5.9,98,0.1,18.0,
Cook,2020-01-10,2020,1,10,12,18.6,37.0,18.4,4.0,98,0.1,20.8,
Cook,2020-01-10,2020,1,10,13,16.6,39.0,8.3,3.7,96,0.0,25.6,
Cook,2020-01-10,2020,1,10,14,15.8,42.0,8.7,3.9,97,0.0,26.1,
Cook,2020-01-10,2020,1,10,15,16.9,40.0,12.0,3.7,97,0.0,25.6,
Cook,2020-01-10,2020,1,10,16,21.1,39.0,9.6,3.5,97,0.0,25.1,
Cook,2020-01-10,2020,1,10,17,17.9,35.0,9.9,3.3,97,0.0,26.9,
Cook,2020-01-10,2020,1,10,18,15.2,37.0,13.2,2.8,96,0.1,33.4,
Cook,2020-01-10,2020,1,10,19,15.4,30.0,12.6,3.1,97,0.3,32.3,
Cook,2020-01-10,2020,1,10,20,13.7,33.0,13.7,3.1,97,0.9,30.5,
Cook,2020-01-10,2020,1,10,21,15.3,23.0,16.7,3.1,96,3.1,35.8,
Cook,2020-01-10,2020,1,10,22,8.7,18.0,10.4,2.9,95,5.5,41.4,
Cook,2020-01-10,2020,1,10,23,3.3,17.0,4.7,2.2,98,8.6,51.2,
Cook,2020-01-11,2020,1,11,0,5.3,14.0,5.1,2.8,93,5.3,49.5,
Cook,2020-01-11,2020,1,11,1,2.9,17.0,5.7,2.6,95,3.5,46.0,
Cook,2020-01-11,2020,1,11,2,2.0,14.0,3.6,2.3,96,2.3,56.4,
Cook,2020-01-11,2020,1,11,3,8.7,11.0,2.6,2.6,93,3.7,56.2,
Cook,2020-01-11,2020,1,11,4,5.4,11.0,1.9,2.3,94,4.6,61.6,
Cook,2020-01-11,2020,1,11,5,4.5,14.0,2.2,1.9,92,2.3,66.8,
Cook,2020-01-11,2020,1,11,6,3.3,13.0,1.8,1.7,89,0.1,62.0,
Cook,2020-01-11,2020,1,11,7,4.1,13.0,1.9,1.1,88,0.4,66.9,
Cook,2020-01-11,2020,1,11,8,3.1,11.0,1.8,0.9,86,0.2,67.2,
Cook,2020-01-11,2020,1,11,9,3.9,8.0,1.7,1.2,84,0.2,62.9,
Cook,2020-01-11,2020,1,11,10,3.3,13.0,1.8,0.9,86,0.3,65.7,
Cook,2020-01-11,2020,1,11,11,7.5,8.0,2.3,0.8,86,0.3,65.5,
Cook,2020-01-11,2020,1,11,12,3.3,21.0,2.1,0.6,86,0.2,63.3,
Cook,2020-01-11,2020,1,11,13,0.8,11.0,2.2,0.4,84,0.3,62.1,
Cook,2020-01-11,2020,1,11,14,-0.7,13.0,2.9,0.2,84,0.4,64.8,
Cook,2020-01-11,2020,1,11,15,4.4,14.0,3.6,0.3,82,0.1,57.7,
Cook,2020-01-11,2020,1,11,16,6.2,14.0,2.8,0.1,83,0.1,56.9,
Cook,2020-01-11,2020,1,11,17,5.2,15.0,2.9,0.0,85,0.4,50.2,
Cook,2020-01-11,2020,1,11,18,1.9,15.0,1.9,-0.1,86,1.8,52.6,
Cook,2020-01-11,2020,1,11,19,-0.5,11.0,1.5,-0.3,84,1.0,57.4,
Cook,2020-01-11,2020,1,11,20,3.6,13.0,1.4,-0.5,84,0.8,59.7,
Cook,2020-01-11,2020,1,11,21,4.9,12.0,1.5,-0.4,82,0.5,50.8,
Cook,2020-01-11,2020,1,11,22,2.1,10.0,2.4,-0.4,81,0.4,41.2,
Cook,2020-01-11,2020,1,11,23,4.5,11.0,4.5,-0.3,83,0.3,40.2,
Cook,2020-01-12,2020,1,12,0,3.9,20.0,12.6,-0.5,80,0.0,32.9,
Cook,2020-01-12,2020,1,12,1,9.4,12.0,12.5,-1.1,82,0.0,23.9,
Cook,2020-01-12,2020,1,12,2,5.0,6.0,13.2,-2.4,84,0.0,27.9,
Cook,2020-01-12,2020,1,12,3,4.8,3.0,15.0,-3.1,83,0.0,26.9,
Cook,2020-01-12,2020,1,12,4,6.8,11.0,15.9,-2.9,82,0.0,25.6,
Cook,2020-01-12,2020,1,12,5,6.0,12.0,15.4,-3.0,82,0.0,20.6,
Cook,2020-01-12,2020,1,12,6,6.2,12.0,14.4,-3.7,85,0.0,13.2,
Cook,2020-01-12,2020,1,12,7,6.8,18.0,18.0,-3.6,83,0.0,7.1,
Cook,2020-01-12,2020,1,12,8,10.5,16.0,15.9,-3.5,82,0.0,6.9,
Cook,2020-01-12,2020,1,12,9,9.5,20.0,16.3,-3.0,82,0.0,5.5,
Cook,2020-01-12,2020,1,12,10,15.5,19.0,20.8,-2.6,82,0.0,2.9,
Cook,2020-01-12,2020,1,12,11,9.8,25.0,24.4,-1.9,85,0.0,3.3,
Cook,2020-01-12,2020,1,12,12,7.2,30.0,22.6,-1.4,85,0.0,4.0,
Cook,2020-01-12,2020,1,12,13,9.5,30.0,21.1,-1.1,86,0.0,5.2,
Cook,2020-01-12,2020,1,12,14,23.3,41.0,21.2,-0.7,87,0.0,8.6,
Cook,2020-01-12,2020,1,12,15,12.0,56.0,19.7,-0.2,85,0.0,11.4,
Cook,2020-01-12,2020,1,12,16,7.3,39.0,18.7,-0.1,85,0.0,12.4,
Cook,2020-01-12,2020,1,12,17,10.9,41.0,14.9,-0.3,89,0.0,13.0,
Cook,2020-01-12,2020,1,12,18,11.2,32.0,18.0,-0.3,87,0.0,18.2,
Cook,2020-01-12,2020,1,12,19,6.6,22.0,19.7,-0.3,87,0.0,21.9,
Cook,2020-01-12,2020,1,12,20,7.0,21.0,17.1,-0.5,87,0.0,23.2,
Cook,2020-01-12,2020,1,12,21,9.7,23.0,13.6,-0.6,88,0.0,25.1,
