ID,SiteID,ObservationTimeUTC,Value
180174,36061NY09929,2020-01-13 19:00:00.000,14.19
180177,36061NY09929,2020-01-13 20:00:00.000,16.73
180180,36061NY09929,2020-01-13 21:00:00.000,19.47
180183,36061NY09929,2020-01-13 22:00:00.000,26.13
180188,36061NY09929,2020-01-14 00:00:00.000,23.65
180191,36061NY09929,2020-01-14 01:00:00.000,18.37
180194,36061NY09929,2020-01-14 02:00:00.000,18.25
180197,36061NY09929,2020-01-14 03:00:00.000,17.99
180200,36061NY09929,2020-01-14 04:00:00.000,15.65
180203,36061NY09929,2020-01-14 05:00:00.000,14.4
180206,36061NY09929,2020-01-14 06:00:00.000,14.4
180208,36061NY09929,2020-01-14 07:00:00.000,12.4
180211,36061NY09929,2020-01-14 08:00:00.000,12.6
180213,36061NY09929,2020-01-14 09:00:00.000,15.98
180216,36061NY09929,2020-01-14 10:00:00.000,18.36
180219,36061NY09929,2020-01-14 11:00:00.000,18.3
180222,36061NY09929,2020-01-14 12:00:00.000,23.99
180225,36061NY09929,2020-01-14 13:00:00.000,22.19
180228,36061NY09929,2020-01-14 14:00:00.000,22.79
180231,36061NY09929,2020-01-14 15:00:00.000,20.97
180234,36061NY09929,2020-01-14 16:00:00.000,22.13
180237,36061NY09929,2020-01-14 17:00:00.000,21.86
180240,36061NY09929,2020-01-14 18:00:00.000,21.11
180243,36061NY09929,2020-01-14 19:00:00.000,18.32
180246,36061NY09929,2020-01-14 20:00:00.000,16.4
180249,36061NY09929,2020-01-14 21:00:00.000,22.99
180252,36061NY09929,2020-01-14 22:00:00.000,16.88
180257,36061NY09929,2020-01-15 00:00:00.000,19.73
180260,36061NY09929,2020-01-15 01:00:00.000,19.48
180262,36061NY09929,2020-01-15 02:00:00.000,28.16
180265,36061NY09929,2020-01-15 03:00:00.000,27.23
180268,36061NY09929,2020-01-15 04:00:00.000,28.76
180271,36061NY09929,2020-01-15 05:00:00.000,29.44
180274,36061NY09929,2020-01-15 06:00:00.000,28.83
180277,36061NY09929,2020-01-15 07:00:00.000,21.72
180280,36061NY09929,2020-01-15 08:00:00.000,15.25
180283,36061NY09929,2020-01-15 09:00:00.000,14.25
180286,36061NY09929,2020-01-15 10:00:00.000,16.96
180289,36061NY09929,2020-01-15 11:00:00.000,22.18
180292,36061NY09929,2020-01-15 12:00:00.000,23.09
180295,36061NY09929,2020-01-15 13:00:00.000,24.9
180298,36061NY09929,2020-01-15 14:00:00.000,24.68
180301,36061NY09929,2020-01-15 15:00:00.000,24.83
180304,36061NY09929,2020-01-15 16:00:00.000,22.49
180307,36061NY09929,2020-01-15 17:00:00.000,21.71
180310,36061NY09929,2020-01-15 18:00:00.000,22.5
180313,36061NY09929,2020-01-15 19:00:00.000,19.02
180316,36061NY09929,2020-01-15 20:00:00.000,22.07
180319,36061NY09929,2020-01-15 21:00:00.000,21.49
180322,36061NY09929,2020-01-15 22:00:00.000,23.06
180325,36061NY09929,2020-01-15 23:00:00.000,22.29
180328,36061NY09929,2020-01-16 00:00:00.000,23.93
180331,36061NY09929,2020-01-16 01:00:00.000,22.52
180334,36061NY09929,2020-01-16 02:00:00.000,23.62
180337,36061NY09929,2020-01-16 03:00:00.000,27.3
180340,36061NY09929,2020-01-16 04:00:00.000,29.72
180343,36061NY09929,2020-01-16 05:00:00.000,27.38
180346,36061NY09929,2020-01-16 06:00:00.000,29.04
180349,36061NY09929,2020-01-16 07:00:00.000,26.17
180352,36061NY09929,2020-01-16 08:00:00.000,22.77
180355,36061NY09929,2020-01-16 09:00:00.000,20.94
180358,36061NY09929,2020-01-16 10:00:00.000,23.87
180361,36061NY09929,2020-01-16 11:00:00.000,32.81
180364,36061NY09929,2020-01-16 12:00:00.000,35.93
180367,36061NY09929,2020-01-16 13:00:00.000,32.28
180370,36061NY09929,2020-01-16 14:00:00.000,14.02
180373,36061NY09929,2020-01-16 15:00:00.000,12.28
180376,36061NY09929,2020-01-16 16:00:00.000,11.69
180379,36061NY09929,2020-01-16 17:00:00.000,9.6
180381,36061NY09929,2020-01-16 18:00:00.000,9.77
180384,36061NY09929,2020-01-16 19:00:00.000,9.19
180386,36061NY09929,2020-01-16 20:00:00.000,9.88
180389,36061NY09929,2020-01-16 21:00:00.000,9.91
180392,36061NY09929,2020-01-16 22:00:00.000,12.03
180395,36061NY09929,2020-01-16 23:00:00.000,11.04
180398,36061NY09929,2020-01-17 00:00:00.000,11.27
180401,36061NY09929,2020-01-17 01:00:00.000,8.02
180404,36061NY09929,2020-01-17 02:00:00.000,6.67
180407,36061NY09929,2020-01-17 03:00:00.000,6.0
180410,36061NY09929,2020-01-17 04:00:00.000,4.49
180413,36061NY09929,2020-01-17 05:00:00.000,3.98
180416,36061NY09929,2020-01-17 06:00:00.000,3.43
180419,36061NY09929,2020-01-17 07:00:00.000,3.67
180422,36061NY09929,2020-01-17 08:00:00.000,4.13
180425,36061NY09929,2020-01-17 09:00:00.000,4.53
180428,36061NY09929,2020-01-17 10:00:00.000,5.49
180431,36061NY09929,2020-01-17 11:00:00.000,7.82
180434,36061NY09929,2020-01-17 12:00:00.000,7.65
180437,36061NY09929,2020-01-17 13:00:00.000,7.49
180440,36061NY09929,2020-01-17 14:00:00.000,7.08
180443,36061NY09929,2020-01-17 15:00:00.000,15.08
180446,36061NY09929,2020-01-17 16:00:00.000,15.71
180449,36061NY09929,2020-01-17 17:00:00.000,7.23
180452,36061NY09929,2020-01-17 18:00:00.000,9.2
180455,36061NY09929,2020-01-17 19:00:00.000,7.7
180458,36061NY09929,2020-01-17 20:00:00.000,10.35
180461,36061NY09929,2020-01-17 21:00:00.000,11.18
180464,36061NY09929,2020-01-17 22:00:00.000,14.44
180467,36061NY09929,2020-01-17 23:00:00.000,13.0
180470,36061NY09929,2020-01-18 00:00:00.000,11.19
180473,36061NY09929,2020-01-18 01:00:00.000,9.07
180476,36061NY09929,2020-01-18 02:00:00.000,7.81
180479,36061NY09929,2020-01-18 03:00:00.000,8.35
180482,36061NY09929,2020-01-18 04:00:00.000,7.02
180485,36061NY09929,2020-01-18 05:00:00.000,6.32
180488,36061NY09929,2020-01-18 06:00:00.000,4.79
180491,36061NY09929,2020-01-18 07:00:00.000,5.14
180494,36061NY09929,2020-01-18 08:00:00.000,4.62
180497,36061NY09929,2020-01-18 09:00:00.000,5.48
180500,36061NY09929,2020-01-18 10:00:00.000,5.59
180503,36061NY09929,2020-01-18 11:00:00.000,5.91
180506,36061NY09929,2020-01-18 12:00:00.000,8.09
180509,36061NY09929,2020-01-18 13:00:00.000,9.07
180512,36061NY09929,2020-01-18 14:00:00.000,8.05
180515,36061NY09929,2020-01-18 15:00:00.000,11.29
180518,36061NY09929,2020-01-18 16:00:00.000,10.74
180521,36061NY09929,2020-01-18 17:00:00.000,9.75
180524,36061NY09929,2020-01-18 18:00:00.000,13.73
180527,36061NY09929,2020-01-18 19:00:00.000,11.08
180530,36061NY09929,2020-01-18 20:00:00.000,9.36
180533,36061NY09929,2020-01-18 21:00:00.000,8.79
180536,36061NY09929,2020-01-18 22:00:00.000,9.37
180539,36061NY09929,2020-01-18 23:00:00.000,11.42
180542,36061NY09929,2020-01-19 00:00:00.000,10.31
180544,36061NY09929,2020-01-19 01:00:00.000,8.85
180547,36061NY09929,2020-01-19 02:00:00.000,9.1
180550,36061NY09929,2020-01-19 03:00:00.000,8.77
180553,36061NY09929,2020-01-19 04:00:00.000,11.69
180556,36061NY09929,2020-01-19 05:00:00.000,12.66
180559,36061NY09929,2020-01-19 06:00:00.000,11.69
180562,36061NY09929,2020-01-19 07:00:00.000,10.61
180565,36061NY09929,2020-01-19 08:00:00.000,10.89
180568,36061NY09929,2020-01-19 09:00:00.000,10.56
